"ags","region","anteil_18_24","tooltip"
"05512","Bottrop (Stadt)",6.26252891287587,"Hier leben rund <b>  103 760</b> deutsche Personen, davon sind etwa <b>  6500</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,3 Prozent</b>."
"05513","Gelsenkirchen (Stadt)",7.67265080067415,"Hier leben rund <b>  201 140</b> deutsche Personen, davon sind etwa <b> 15 430</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,7 Prozent</b>."
"05515","Münster (Stadt)",12.2864429015758,"Hier leben rund <b>  271 360</b> deutsche Personen, davon sind etwa <b> 33 340</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b>12,3 Prozent</b>."
"05554","Borken",6.78716952525348,"Hier leben rund <b>  337 700</b> deutsche Personen, davon sind etwa <b> 22 920</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,8 Prozent</b>."
"05558","Coesfeld",6.1287284144427,"Hier leben rund <b>  207 020</b> deutsche Personen, davon sind etwa <b> 12 690</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,1 Prozent</b>."
"05562","Recklinghausen",6.36912662222464,"Hier leben rund <b>  532 680</b> deutsche Personen, davon sind etwa <b> 33 930</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,4 Prozent</b>."
"05566","Steinfurt",6.82022714817924,"Hier leben rund <b>  397 800</b> deutsche Personen, davon sind etwa <b> 27 130</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,8 Prozent</b>."
"05570","Warendorf",6.78235291734362,"Hier leben rund <b>  246 820</b> deutsche Personen, davon sind etwa <b> 16 740</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,8 Prozent</b>."
"05711","Bielefeld (Stadt)",8.73388836592593,"Hier leben rund <b>  273 020</b> deutsche Personen, davon sind etwa <b> 23 840</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 8,7 Prozent</b>."
"05754","Gütersloh",7.02488973517011,"Hier leben rund <b>  308 800</b> deutsche Personen, davon sind etwa <b> 21 690</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,0 Prozent</b>."
"05758","Herford",6.6097491346394,"Hier leben rund <b>  224 180</b> deutsche Personen, davon sind etwa <b> 14 820</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,6 Prozent</b>."
"05762","Höxter",6.40100333656736,"Hier leben rund <b>  126 780</b> deutsche Personen, davon sind etwa <b>  8120</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,4 Prozent</b>."
"05766","Lippe",6.8029072087963,"Hier leben rund <b>  310 680</b> deutsche Personen, davon sind etwa <b> 21 140</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,8 Prozent</b>."
"05770","Minden-Lübbecke",6.72026784210231,"Hier leben rund <b>  284 940</b> deutsche Personen, davon sind etwa <b> 19 150</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 6,7 Prozent</b>."
"05774","Paderborn",7.96136052090473,"Hier leben rund <b>  280 130</b> deutsche Personen, davon sind etwa <b> 22 300</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 8,0 Prozent</b>."
"05911","Bochum (Stadt)",7.62983416279493,"Hier leben rund <b>  302 400</b> deutsche Personen, davon sind etwa <b> 23 070</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,6 Prozent</b>."
"05913","Dortmund (Stadt)",7.68714607333455,"Hier leben rund <b>  478 380</b> deutsche Personen, davon sind etwa <b> 36 770</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,7 Prozent</b>."
"05914","Hagen (Stadt)",7.56348176872873,"Hier leben rund <b>  147 250</b> deutsche Personen, davon sind etwa <b> 11 140</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,6 Prozent</b>."
"05915","Hamm (Stadt)",7.66901093540388,"Hier leben rund <b>  147 590</b> deutsche Personen, davon sind etwa <b> 11 320</b> zwischen 18 und 24 Jahre alt. Das entspricht einem Anteil von <b> 7,7 Prozent</b>."
