"zielkreis_ags","zielkreis","p_x18_bis_24_jahre","tooltip"
"15003","Magdeburg, Landeshauptstadt",47.0548904072379,"Hier leben rund <b> 15 950 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 2252 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+47,1 je 1.000 Personen</b>."
"15081","Altmarkkreis Salzwedel",-41.7447150120417,"Hier leben rund <b>  3740 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  468 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-41,7 je 1.000 Personen</b>."
"15082","Anhalt-Bitterfeld",-27.6685817961899,"Hier leben rund <b>  6610 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  549 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-27,7 je 1.000 Personen</b>."
"15083","Börde",-42.4384849322643,"Hier leben rund <b>  7230 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  921 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-42,4 je 1.000 Personen</b>."
"15084","Burgenlandkreis",-32.0057216932636,"Hier leben rund <b>  7460 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  716 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-32,0 je 1.000 Personen</b>."
"15085","Harz",-25.1513900357831,"Hier leben rund <b>  9690 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  731 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-25,2 je 1.000 Personen</b>."
"15086","Jerichower Land",-43.6171183502144,"Hier leben rund <b>  3650 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  478 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-43,6 je 1.000 Personen</b>."
"15087","Mansfeld-Südharz",-35.5501250945482,"Hier leben rund <b>  5730 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  611 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-35,6 je 1.000 Personen</b>."
"15088","Saalekreis",-34.9733497334973,"Hier leben rund <b>  8130 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  853 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-35,0 je 1.000 Personen</b>."
"15089","Salzlandkreis",-21.3270142180095,"Hier leben rund <b>  8440 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  540 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-21,3 je 1.000 Personen</b>."
"15090","Stendal",-34.1679707876891,"Hier leben rund <b>  5110 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  524 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-34,2 je 1.000 Personen</b>."
"15091","Wittenberg",-37.6696458126448,"Hier leben rund <b>  5040 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  569 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-37,7 je 1.000 Personen</b>."
"16051","Erfurt, Stadt",47.5013361838589,"Hier leben rund <b> 14 970 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 2133 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+47,5 je 1.000 Personen</b>."
"16052","Gera, Stadt",4.22125181950509,"Hier leben rund <b>  4580 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>   58 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+4,2 je 1.000 Personen</b>."
"16053","Jena, Stadt",62.4444444444444,"Hier leben rund <b>  9000 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 1686 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+62,4 je 1.000 Personen</b>."
"16054","Suhl, Stadt",-28.6788904560414,"Hier leben rund <b>  1420 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  122 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-28,7 je 1.000 Personen</b>."
"16055","Weimar, Stadt",31.906149592767,"Hier leben rund <b>  4460 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  427 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+31,9 je 1.000 Personen</b>."
"16061","Eichsfeld",-40.5054644808743,"Hier leben rund <b>  4880 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  593 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-40,5 je 1.000 Personen</b>."
