"zielkreis_ags","zielkreis","p_x18_bis_24_jahre","tooltip"
"15083","Börde",-4.24384849322643,"Hier leben rund <b>  7230 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  921 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-4,2 je 100 Personen</b>."
"15084","Burgenlandkreis",-3.20057216932636,"Hier leben rund <b>  7460 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  716 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,2 je 100 Personen</b>."
"15085","Harz",-2.51513900357831,"Hier leben rund <b>  9690 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  731 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-2,5 je 100 Personen</b>."
"15086","Jerichower Land",-4.36171183502144,"Hier leben rund <b>  3650 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  478 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-4,4 je 100 Personen</b>."
"15087","Mansfeld-Südharz",-3.55501250945482,"Hier leben rund <b>  5730 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  611 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,6 je 100 Personen</b>."
"15088","Saalekreis",-3.49733497334973,"Hier leben rund <b>  8130 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  853 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,5 je 100 Personen</b>."
"15089","Salzlandkreis",-2.13270142180095,"Hier leben rund <b>  8440 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  540 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-2,1 je 100 Personen</b>."
"15090","Stendal",-3.41679707876891,"Hier leben rund <b>  5110 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  524 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,4 je 100 Personen</b>."
"15091","Wittenberg",-3.76696458126448,"Hier leben rund <b>  5040 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>  569 mehr 18- bis 24-Jährige</b> fortgezogen als zugezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>-3,8 je 100 Personen</b>."
"16051","Erfurt, Stadt",4.75013361838589,"Hier leben rund <b> 14 970 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b> 2133 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+4,8 je 100 Personen</b>."
"16052","Gera, Stadt",0.422125181950509,"Hier leben rund <b>  4580 deutsche Personen</b> zwischen 18 und 24 Jahren. Zwischen 2022 und 2024 sind <b>   58 mehr 18- bis 24-Jährige</b> zugezogen als fortgezogen. Das entspricht einem durchschnittlichen jährlichen Wanderungssaldo von <b>+0,4 je 100 Personen</b>."
