"ags","region","bevoelkerung_2024_gesamt","durchschnittsalter_2024_gesamt","bevoelkerung_18_24_deutsch","anteil_18_24_an_bevoelkerung_deutsch","wanderungssaldo_18_24_deutsch","bevoelkerung_30_49_deutsch","anteil_30_49_an_bevoelkerung_deutsch","wanderungssaldo_30_49_deutsch"
"05958","Hochsauerlandkreis",260843,45.8290960499148,15121,6.5425736748054,-2.93017456359102,51333,22.2108282817794,0.433188068762906
"05962","Märkischer Kreis",408046,45.5291694298377,23545,6.78821741900701,-2.86103171362461,76282,21.9927288662855,0.203512574169761
"05966","Olpe",132346,44.8062536835837,7878,6.71800250709918,-2.91973694635924,27298,23.2785011981205,0.20213899812562
"05970","Siegen-Wittgenstein",274074,44.6639829478037,16266,6.83948281299275,-1.03411077632705,55044,23.1447492904447,-0.25364383259507
"05974","Soest",300297,45.3444375727453,17164,6.45729248179137,-3.18896551724138,61110,22.9902786974056,0.599478762032277
"05978","Unna",393784,45.8926109962655,21817,6.33423337107685,-2.64573339148132,78502,22.7918590134425,0.67797923446459
"06411","Darmstadt (Stadt)",167029,40.9657462437967,13042,10.22220480464,7.35891873020623,32000,25.0813183367951,-2.53602427792279
"06412","Frankfurt am Main (Stadt)",756021,41.1326748416311,44464,8.34057080687669,6.55204717033118,147673,27.7005467965973,-2.25779939428739
"06413","Offenbach am Main (Stadt)",132746,41.0023450512486,7021,8.78096977125205,3.28882294757666,19535,24.4318821366484,-1.6693341593956
"06414","Wiesbaden (Stadt)",288850,43.179454076121,18360,8.26137626609191,3.02444947292897,52550,23.6457147485365,-1.2323665357791
"06431","Bergstraße",274169,45.6197126846351,14214,6.13365093338166,-2.39640994100093,51789,22.3480827486213,0.836817346130946
"06432","Darmstadt-Dieburg",302021,44.8766791224577,16796,6.60614832761713,-2.47881109950075,58169,22.8788427047607,0.307129882706181
"06433","Groß-Gerau",268310,43.1755600431468,14984,7.34056416135132,-1.00276388222664,47120,23.0837815858832,-0.109086242299795
"06434","Hochtaunuskreis",241664,45.7122007509685,12634,6.43878970731384,-4.04504649787669,41218,21.0063348231805,1.07236469960244
"06435","Main-Kinzig-Kreis",420914,44.7638717608782,22532,6.57761066803676,-1.81844277000359,77222,22.5428834993403,0.608476983413465
